Player
Leander Dendoncker
Moussa Diaby
Amad Diallo
Amadou Diallo
Rúben Dias
Luis Díaz
Eric Dier
Lucas Digne
Issa Diop
Axel Disasi
Ben Doak
Lewis Dobbin
Matt Doherty
Jeremy Doku
Nicolás Domínguez
Jamie Donley
Gabriel Dos Santos
Abdoulaye Doucouré
Cheick Doucouré
Alfie Doughty
Tommy Doyle
Radu Drăgușin
Martin Dúbravka
Paul Dummett
Lewis Dunk
Jhon Durán
Ederson
Odsonne Édouard
John Egan
Hjalmar Ekdal
Anthony Elanga
Harvey Elliott
Mohamed Elneny
Emerson
Wataru Endo
Christian Eriksen
Maxime Estève
Pervis Estupiñán
Jonny Evans
Eberechi Eze
Łukasz Fabiański
Romain Faivre
Ansu Fati
Felipe
Evan Ferguson
Bruno Fernandes
Enzo Fernández
John Fleck
Mark Flekken
Phil Foden
Wes Foderingham
Pablo Fornals
Omari Forson
Lyle Foster
Matheus França
Nathan Fraser
Cody Gakpo
Conor Gallagher
Idrissa Gana Gueye
Alejandro Garnacho
James Garner
Saman Ghoddos
Morgan Gibbs-White
Bryan Gil
Alfie Gilchrist
Billy Gilmour
Ben Godfrey
André Gomes
João Gomes
Toti Gomes
Joe Gomez
Sergio Gómez
Anthony Gordon
Kaide Gordon
Daniel Gore
Ryan Gravenberch
Ivo Grbić
Jack Grealish
Pascal Groß
Marc Guéhi
Bruno Guimarães
Malo Gusto
Joško Gvardiol
Erling Haaland
Antwoine Hackford
Lewis Hall
Gustavo Hamer
Luke Harris
Jack Harrison
Kai Havertz
Jan Paul van Hecke
Hwang Hee-chan
Dean Henderson
Rico Henry
Son Heung-min
Aaron Hickey
James Hill
Jack Hinshelwood
Mason Holgate
Callum Hudson-Odoi
Will Hughes
Pierre Højbjerg
Rasmus Højlund
Igor
Danny Ings
Tim Iroegbunam
Alexander Isak
Alex Iwobi
Nicolas Jackson
Reece James
Vitaly Janelt
Mathias Jensen
Gabriel Jesus
Raúl Jiménez
João Pedro
Joelinton
Ryan John Giles
Ben Johnson
Brennan Johnson
Sam Johnstone
Curtis Jones
Jorginho
Diogo Jota
Mads Juel Andersen
Hamed Junior Traorè
Mathias Jørgensen
Issa Kaboré
Sasa Kalajdzic
Boubacar Kamara
Willy Kambwala
Thomas Kaminski
Michael Keane
Thilo Kehrer
Caoimhín Kelleher
Lloyd Kelly
Milos Kerkez
Max Kilman
Jakub Kiwior
Justin Kluivert
Luca Koleosho
Ibrahima Konaté
Ezri Konsa
Cheikhou Kouyaté
Mateo Kovačić
Emil Krafth
Dejan Kulusevski
Adam Lallana
Tariq Lamptey
Aymeric Laporte
Yasser Larouci
Jamaal Lascelles
Roméo Lavia
Mario Lemina
Clément Lenglet
Bernd Leno
Jefferson Lerma
Rico Lewis
Keane Lewis-Potter
Victor Lindelöf
Valentino Livramento
Giovani Lo Celso
Tom Lockyer
Sean Longstaff
Max Lowe
Douglas Luiz
Saša Lukić
Ian Maatsen
Alexis Mac Allister
James Maddison
Noni Madueke
Harry Maguire
Kobbie Mainoo
Orel Mangala
Benson Manuel
Solly March
Anthony Martial
Gabriel Martinelli
Emiliano Martínez
Lisandro Martínez
Han-Noah Massengo
Pape Matar Sarr
Jean-Philippe Mateta
Joël Matip
Alex Matos
Remi Matthews
Neal Maupay
Konstantinos Mavropanos
Bryan Mbeumo
James Mcatee
Oliver McBurnie
James McConnell
John McGinn
Scott McKenna
Dwight McNeil
Scott McTominay
Ben Mee
Hannibal Mejbri
Teden Mengi
Chris Mepham
Lewis Miley
James Milner
Tyrone Mings
Tyrick Mitchell
Kaoru Mitoma
Aleksandar Mitrović
Jakub Moder
Kudus Mohammed
Gonzalo Montiel
Kieffer Moore
Álex Moreno
Carlton Morris
Mason Mount
Divin Mubama
Mykhailo Mudryk
Rodrigo Muniz
Daniel Muñoz
Murillo
Alex Murphy
Jacob Murphy
Vitaliy Mykolenko
Marvelous Nakamba
Michael Ndiweni
Reiss Nelson
Neto
Pedro Neto
Moussa Niakhate
Eddie Nketiah
Christopher Nkunku
Rhys Norrington-Davies
Oliver Norwood
Matheus Nunes
Darwin Núñez
Ethan Nwaneri
Christian Nørgaard
Dara O'Shea
Michael Obafemi
Wilson Odobert
Chiedozie Ogbene
Angelo Ogbonna
Michael Olakigbe
Michael Olise
Robin Olsen
Andrew Omobamidele
Amadou Onana
André Onana
Ryan One
Tyler Onyango
Frank Onyeka
Divock Origi
Stefan Ortega
Ben Osborn
Gabriel Osho
William Osula
Dango Ouattara
David Ozoh
João Palhinha
Cole Palmer
Emerson Palmieri
Lucas Paquetá
Ben Parkinson
Thomas Partey
Nathan Patterson
Myles Peart-Harris
Sydie Peck
Facundo Pellistri
Andreas Pereira
Ivan Perišić
Đorđe Petrović
Kalvin Phillips
Jaden Philogene Bidace
Jordan Pickford
Ethan Pinnock
Nick Pope
Pedro Porro
Jarell Quansah
Ionuț Radu
Jesuran Rak Sakyi
Aaron Ramsdale
Aaron Ramsey
Jacob Ramsey
Marcus Rashford
David Raya
Tim Ream
Nathan Redmond
Harrison Reed
Sergio Reguilón
Bobby Reid
Gio Reyna
Rodrigo Ribeiro
Declan Rice
Chris Richards
Richarlison
Jaïro Riedewald
Matt Ritchie
Connor Roberts
Andrew Robertson
Antonee Robinson
Jack Robinson
Rodri
Jay Rodriguez
Mads Roerslev
Morgan Rogers
Cristian Romero
Joe Rothwell
Pelly Ruddock Mpanzu
José Sá
Bukayo Saka
Mohamed Salah
William Saliba
Albert Sambi Lokonga
Davinson Sánchez
Robert Sánchez
Jadon Sancho
Ibrahim Sangaré
Andrey Santos
Pablo Sarabia
Kevin Schade
Fabian Schär
Jeffrey Schlupp
Alex Scott
Matz Sels
Nélson Semedo
Antoine Semenyo
Marcos Senesi
Luke Shaw
Bernardo Silva
Fábio Silva
Thiago Silva
Luis Sinisterra
Oliver Skipp
Adam Smith
Emile Smith Rowe
Cédric Soares
Dominic Solanke
Manor Solomon
Tomáš Souček
Vinicius Souza
Jason Steele
Raheem Sterling
John Stones
Thomas Strakosha
Dominik Szoboszlai
Matt Targett
James Tarkowski
Nuno Tavares
Marcus Tavernier
Charlie Taylor
Kenny Tete
Luke Thomas
Youri Tielemans
Jurriën Timber
Harry Toffolo
Takehiro Tomiyasu
James Tomkins
Sandro Tonali
Ivan Toney
Pau Torres
Andros Townsend
James Trafford
Adama Traoré
Bertrand Traoré
