,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report,Player
52,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 2–1,Luton Town,Everton,N,FW,13,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
53,2023-10-03,Tue,Premier League,Matchweek 2,Home,L 1–2,Luton Town,Burnley,N,WB,29,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
54,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 0–1,Luton Town,Tottenham,Y,FW,66,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2,3.0,1.0,0.0,Match Report,Elijah Adebayo
55,2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Luton Town,Nott'ham Forest,N,FW,19,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Match Report,Elijah Adebayo
56,2023-10-29,Sun,Premier League,Matchweek 10,Away,L 1–3,Luton Town,Aston Villa,N,FW,15,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
57,2023-11-05,Sun,Premier League,Matchweek 11,Home,D 1–1,Luton Town,Liverpool,N,FW,16,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
58,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 0–1,Luton Town,Manchester Utd,N,"AM,WB",5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
59,2023-11-25,Sat,Premier League,Matchweek 13,Home,W 2–1,Luton Town,Crystal Palace,N,FW,17,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0,Match Report,Elijah Adebayo
60,2023-12-02,Sat,Premier League,Matchweek 14,Away,L 1–3,Luton Town,Brentford,N,FW,31,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
61,2023-12-05,Tue,Premier League,Matchweek 15,Home,L 3–4,Luton Town,Arsenal,Y,FW,60,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Match Report,Elijah Adebayo
62,2023-12-10,Sun,Premier League,Matchweek 16,Home,L 1–2,Luton Town,Manchester City,Y,FW,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
63,2023-12-23,Sat,Premier League,Matchweek 18,Home,W 1–0,Luton Town,Newcastle Utd,Y,FW,79,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,2.0,0.0,Match Report,Elijah Adebayo
64,2023-12-26,Tue,Premier League,Matchweek 19,Away,W 3–2,Luton Town,Sheffield Utd,Y,FW,70,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,3.0,0.0,Match Report,Elijah Adebayo
65,2023-12-30,Sat,Premier League,Matchweek 20,Home,L 2–3,Luton Town,Chelsea,Y,FW,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
66,2024-01-12,Fri,Premier League,Matchweek 21,Away,D 1–1,Luton Town,Burnley,Y,FW,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Match Report,Elijah Adebayo
67,2024-01-30,Tue,Premier League,Matchweek 22,Home,W 4–0,Luton Town,Brighton,Y,AM,70,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Match Report,Elijah Adebayo
68,2024-02-03,Sat,Premier League,Matchweek 23,Away,D 4–4,Luton Town,Newcastle Utd,Y,FW,87,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,3.0,0.0,Match Report,Elijah Adebayo
69,2024-02-10,Sat,Premier League,Matchweek 24,Home,L 1–3,Luton Town,Sheffield Utd,Y,FW,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,3.0,0.0,Match Report,Elijah Adebayo
70,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,N,RW,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Simon Adingra
71,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Simon Adingra
72,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,N,RW,19,3,2,0,1,2,3,3,100.0,0,1,0,1,0,3,0,0,Match Report,Simon Adingra
73,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,N,RM,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Simon Adingra
74,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Brighton,Manchester Utd,Y,RW,84,3,2,2,1,0,2,5,40.0,3,0,0,0,2,5,1,0,Match Report,Simon Adingra
75,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,Y,"LW,RW",86,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,0,0,Match Report,Simon Adingra
76,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–6,Brighton,Aston Villa,N,RM,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Simon Adingra
77,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,RW,90,4,3,2,2,0,2,2,100.0,0,1,0,1,2,6,0,0,Match Report,Simon Adingra
78,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Manchester City,Y,RW,90,0,0,0,0,0,0,3,0.0,3,3,0,3,2,2,0,0,Match Report,Simon Adingra
79,2023-10-29,Sun,Premier League,Matchweek 10,Home,D 1–1,Brighton,Fulham,Y,WB,70,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,Match Report,Simon Adingra
80,2023-11-04,Sat,Premier League,Matchweek 11,Away,D 1–1,Brighton,Everton,Y,"RW,RM",89,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,Match Report,Simon Adingra
81,2023-11-12,Sun,Premier League,Matchweek 12,Home,D 1–1,Brighton,Sheffield Utd,Y,"LW,RM,RW",90,3,0,3,0,0,2,2,100.0,0,1,0,1,2,5,3,0,Match Report,Simon Adingra
82,2023-11-25,Sat,Premier League,Matchweek 13,Away,W 3–2,Brighton,Nott'ham Forest,Y,"RW,LW",90,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,Match Report,Simon Adingra
83,2023-12-03,Sun,Premier League,Matchweek 14,Away,L 2–3,Brighton,Chelsea,Y,"LW,RW",90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Match Report,Simon Adingra
84,2023-12-06,Wed,Premier League,Matchweek 15,Home,W 2–1,Brighton,Brentford,Y,RW,83,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,Match Report,Simon Adingra
85,2023-12-09,Sat,Premier League,Matchweek 16,Home,D 1–1,Brighton,Burnley,Y,"RW,RM",90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,Match Report,Simon Adingra
86,2023-12-17,Sun,Premier League,Matchweek 17,Away,L 0–2,Brighton,Arsenal,Y,RW,78,2,0,2,0,0,0,1,0.0,1,2,0,2,0,2,0,0,Match Report,Simon Adingra
87,2023-12-21,Thu,Premier League,Matchweek 18,Away,D 1–1,Brighton,Crystal Palace,Y,RW,45,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Match Report,Simon Adingra
88,2024-02-18,Sun,Premier League,Matchweek 25,Away,W 5–0,Brighton,Sheffield Utd,Y,RW,90,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,1,0,Match Report,Simon Adingra
89,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,CB,90,2,0,2,0,0,2,2,100.0,0,0,0,0,2,4,7,1,Match Report,Nayef Aguerd
90,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,CB,66,1,0,0,1,0,1,1,100.0,0,2,0,2,3,4,3,0,Match Report,Nayef Aguerd
91,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,CB,90,2,1,2,0,0,2,3,66.7,1,1,1,0,0,2,5,0,Match Report,Nayef Aguerd
92,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,West Ham,Manchester City,Y,CB,90,0,0,0,0,0,0,0,,0,4,4,0,3,3,8,0,Match Report,Nayef Aguerd
93,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,West Ham,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0.0,1,3,3,0,0,0,6,0,Match Report,Nayef Aguerd
94,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–0,West Ham,Sheffield Utd,Y,CB,90,1,0,0,1,0,0,0,,0,6,5,1,2,3,3,0,Match Report,Nayef Aguerd
95,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,West Ham,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Nayef Aguerd
96,2023-10-22,Sun,Premier League,Matchweek 9,Away,L 1–4,West Ham,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Match Report,Nayef Aguerd
97,2023-10-29,Sun,Premier League,Matchweek 10,Home,L 0–1,West Ham,Everton,Y,CB,90,4,3,3,1,0,1,1,100.0,0,0,0,0,3,7,4,0,Match Report,Nayef Aguerd
98,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 2–3,West Ham,Brentford,Y,CB,90,0,0,0,0,0,0,0,,0,3,2,1,0,0,7,0,Match Report,Nayef Aguerd
